ADDI R1,R0,5 	001010 00000 00001 0000000000000101  	28010005
ADDI R2,R0,10  	001010 00000 00010 0000000000001010  	2802000a
ADDI R3,R0,20 	001010 00000 00011 0000000000010100  	28030014
ADDI R4,R0,1  	001010 00000 00100 0000000000000001  	28040001
ADD R5,R1,R2  	000000 00001 00010 00101 00000000000 	00222800
SUB R6,R3,R2  	000001 00011 00010 00110 00000000000 	04623000
SUBI R7,R1,1  	001011 00001 00111 0000000000000001  	2c270001
MUL R8,R2,R3  	000101 00010 00011 01000 00000000000 	14434000
RS R9,R1,R4   	010001 00001 00100 01001 00000000000 	44244800
LS R10,R1,R4  	010000 00001 00100 10010 00000000000 	40245000
HLT           	111111 00000 00000 0000000000000000  	fc000000
